Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1uf ","C_0402_1005Metric",100.900000,-98.500000,90.000000,top
"C2","5pf ","C_0402_1005Metric",112.900000,-83.400000,0.000000,top
"C3","1uf ","C_0402_1005Metric",104.500000,-93.840000,-90.000000,top
"C4","1uf ","C_0402_1005Metric",102.000000,-94.400000,180.000000,top
"C5","100nf ","C_0402_1005Metric",102.000000,-86.100000,90.000000,top
"C6","100nf ","C_0402_1005Metric",107.500000,-93.840000,-90.000000,top
"C7","100nf ","C_0402_1005Metric",106.600000,-81.200000,90.000000,top
"C8","100nf ","C_0402_1005Metric",102.000000,-93.400000,180.000000,top
"C9","100nf ","C_0402_1005Metric",113.000000,-90.600000,0.000000,top
"C10","1uf ","C_0402_1005Metric",113.000000,-91.600000,0.000000,top
"C11","100nf ","C_0402_1005Metric",101.700000,-91.700000,180.000000,top
"C13","100nf ","C_0402_1005Metric",107.600000,-81.200000,90.000000,top
"C14","100nf ","C_0402_1005Metric",112.776000,-85.200000,0.000000,top
"C15","100nf ","C_0402_1005Metric",105.600000,-81.200000,90.000000,top
"C16","100nf ","C_0402_1005Metric",107.800000,-96.910000,-90.000000,top
"C18","100nf ","C_0402_1005Metric",103.500000,-93.840000,-90.000000,top
"C19","5pf ","C_0402_1005Metric",109.700000,-80.100000,-90.000000,top
"D1","WS2812B","LED_WS2812-2020",103.100000,-81.200000,0.000000,top
"FLASH1","W25Q16JVUXIQ","USON-8_2x3mm_P0.5mm",110.800000,-94.000000,180.000000,top
"J1","USB","pico_usb_point",103.000000,-99.200000,0.000000,top
"J2","switch_pin","PICO_TESTPoint",101.500000,-76.150000,90.000000,top
"R1","1K ","R_0402_1005Metric",109.900000,-96.900000,-90.000000,top
"R2","10K ","R_0402_1005Metric",108.800000,-96.910000,-90.000000,top
"R3","27r ","R_0402_1005Metric",106.500000,-93.840000,90.000000,top
"R4","27r ","R_0402_1005Metric",105.500000,-93.840000,90.000000,top
"R5","47R","R_0402_1005Metric",106.900000,-78.200000,180.000000,top
"R6","47R","R_0402_1005Metric",105.000000,-78.200000,180.000000,top
"R7","47R","R_0402_1005Metric",103.000000,-78.200000,180.000000,top
"R11","1K ","R_0402_1005Metric",108.700000,-81.200000,90.000000,top
"SW1","BOOT","SW-K2-1828UQ",112.700000,-95.900000,0.000000,top
"SW2","RESET","SW-K2-1828UQ",112.776000,-86.284000,0.000000,top
"U1","XC6206PxxxMR","SOT-23",103.100000,-96.900000,-90.000000,top
"U3","RP2040","RP2040-QFN-56",107.300000,-87.600000,180.000000,top
"Y1","3225_4P","Crystal_SMD_3225-4Pin_3.2x2.5mm",112.100000,-80.700000,90.000000,top
